978	2659	1
6017	3164	13
106	4539	6
14	6048	17
12	1059	21
329	5243	9
420	5999	5
109	6074	4
2174	4098	8
203	3027	7
101	1516	21
112	1812	15
105	741	8
281	1466	3
162	165	34
11800	1575	18
14	5124	27
12	3238	26
16	5018	2
101	7397	18
122	9936	14
101	4106	21
3538	2930	21
8	1902	8
109	2429	1
102	6242	25
14	9073	37
17829	6370	29
233	6918	10
925	8711	0
181	1349	0
487	6990	3
102	9800	25
282	5425	7
28495	9061	22
3742	9829	5
3639	497	2
3678	2621	16
602	5161	1
986	5730	5
14	4365	25
8257	7332	37
110	8313	18
12	654	29
21038	6592	11
17489	2666	10
2536	6062	21
7563	4058	12
668	484	33
2811	2282	7
8	7328	15
160	6621	18
5128	3582	38
10260	6962	25
437	2503	1
1325	3526	6
3005	7153	10
1272	7212	27
14	1294	5
5950	7744	12
12	8356	24
285	9233	3
1931	3252	10
22459	7754	27
320	5184	7
107	7699	15
102	6062	22
107	3999	7
167	8237	2
1747	8347	46
24625	5232	32
373	3440	28
5925	4419	3
3243	9563	30
159	8658	11
101	9106	33
383	6084	43
15011	4991	6
110	7003	4
6552	5127	17
103	969	12
103	4677	4
9893	3063	6
188	2620	8
113	7934	12
18335	3378	6
1367	7015	22
165	1571	21
109	1301	4
1803	1589	15
9	1510	6
14	4941	27
154	2197	2
18064	7383	28
211	3777	4
108	7094	7
170	8426	29
418	3339	16
555	2354	17
115	7307	7
12087	7620	4
2328	17	14
14	4207	7
547	9467	48
108	1042	8
106	6033	12
735	6681	21
10543	952	16
3256	7582	7
102	143	22
101	5039	11
113	8404	12
4000	9826	2
110	2549	16
322	2638	26
108	3442	27
993	316	2
1625	9558	22
10620	6351	5
1114	2824	17
1346	1909	7
110	5466	5
116	6470	0
542	8557	28
103	1804	20
9311	1124	33
27134	7581	33
109	3739	17
190	4983	28
26064	4853	21
358	2342	20
2956	7332	26
3053	2760	18
219	1807	6
12	1035	7
103	9411	13
101	854	34
1044	795	3
133	9076	16
101	6311	8
20835	5385	12
289	6048	6
1246	8637	6
17627	683	4
371	4950	19
4891	8509	2
2460	1075	7
122	6041	17
112	8698	6
136	8912	5
10312	7975	35
12	9895	20
247	5082	23
3008	5990	4
1225	406	29
649	1536	21
2568	4010	15
4351	9885	0
11	50	12
9348	2565	7
2064	4409	9
120	8219	14
28231	4296	1
13557	949	15
272	1653	1
2347	7282	3
104	9121	5
101	3974	8
24466	8935	6
116	7041	0
215	3012	15
12	2439	10
430	6827	8
14	5623	44
22382	409	17
684	4213	5
107	7583	23
880	9690	1
18505	8576	11
102	901	24
1153	1107	24
122	3381	8
14	7791	18
335	6730	1
1	6662	8
103	416	8
337	6560	17
17470	2103	28
13	2185	13
101	1347	5
198	514	5
151	7736	5
12	9310	45
328	7738	28
220	5572	0
107	1395	12
198	999	25
102	6022	4
268	9894	10
14	333	11
103	9098	13
695	2067	3
6513	6883	19
14	2668	14
215	4237	10
103	6313	15
150	8469	9
105	9356	3
7097	521	5
123	48	0
103	5761	8
12	2881	30
5651	8612	27
109	3738	5
3099	3352	14
14	9048	35
102	8845	1
360	6977	24
263	6956	35
6735	9423	10
155	7609	0
2170	8907	6
27882	619	30
14	4954	36
388	8038	37
106	6219	40
2579	3233	8
105	2633	1
2081	9364	21
110	2681	8
14	7014	16
485	7253	22
116	7368	0
105	5930	14
418	8077	22
1048	7898	1
114	4449	2
12	2304	8
6670	6296	10
1117	1783	18
102	2950	1
124	4568	14
125	5145	0
147	6512	38
101	1006	13
816	153	34
15623	3661	0
16933	3371	18
284	368	8
57	6435	18
111	893	29
103	616	24
250	6727	2
6096	4859	17
366	8412	25
14	4269	25
944	8997	2
110	2707	4
1009	5937	7
15357	3035	0
103	4609	12
716	4091	21
104	9218	9
101	6220	16
181	1253	0
1658	8182	3
106	1638	33
12	5832	29
1	8521	16
103	5739	4
24203	1018	17
105	6510	19
603	7583	41
104	3337	9
2140	2786	6
6254	198	7
826	887	18
328	1432	1
28282	482	7
135	3191	26
102	5996	8
124	8630	19
358	2021	11
13	4814	12
1104	38	9
102	1797	28
9	3140	11
28052	7821	2
455	1015	23
103	4962	6
23806	2964	45
121	7161	8
1623	9564	4
27813	2053	3
105	8559	13
28338	2348	13
12	7883	4
14449	8050	5
371	3031	6
216	9770	25
5687	6040	7
140	8270	22
113	2459	4
117	2408	6
230	945	12
28219	2166	14
12	4197	21
121	4090	20
5965	5332	15
940	298	8
7439	922	6
10559	9876	26
158	5368	20
17158	5202	28
6226	8712	10
4450	4700	7
334	104	18
133	662	5
11033	2825	9
3825	307	2
102	8353	25
104	6248	11
289	7066	32
170	5540	4
105	7080	7
304	7691	2
101	2787	16
147	8602	32
107	2771	25
10590	8550	4
18251	9158	7
3215	6308	21
101	8268	26
16011	4582	0
518	8855	33
103	2959	9
461	9406	17
448	2447	2
188	130	32
3522	489	16
194	5513	20
206	2234	0
105	7719	19
106	4699	4
12	1574	11
202	2004	2
1060	2588	13
818	9034	2
102	4133	8
200	3215	0
585	7674	24
115	72	8
241	1725	14
1125	325	12
12	7656	12
292	9131	0
603	2688	16
120	9245	28
214	1225	4
148	2757	48
1026	2526	18
101	161	31
101	5859	21
101	6668	18
287	5857	12
111	9876	15
7885	7343	28
8458	1902	1
572	665	1
109	1462	21
12	6848	3
121	1375	2
12	1955	12
570	8260	37
154	1340	8
774	1735	10
233	8768	13
3238	9883	26
1672	4824	10
1246	7031	25
13	8877	4
269	1123	10
104	9472	12
19299	2886	30
101	6315	9
14598	3752	13
493	9534	3
16	115	15
157	9086	22
12	6273	21
5589	10000	11
784	7351	13
278	9757	0
5051	4086	12
12	6500	9
12	9324	21
530	4433	0
108	4439	25
14	6217	25
154	2224	5
121	9113	25
105	3917	22
1854	7815	31
438	4561	27
2518	9302	12
353	9777	5
7844	1147	17
249	5282	0
17523	8499	10
169	363	9
26801	8302	3
118	6247	17
1273	3763	45
106	4377	3
22969	6805	15
118	9028	19
110	467	14
105	1581	5
2536	1542	14
375	2593	13
6179	7433	6
9179	3176	6
104	3881	16
2534	6198	29
102	6785	10
1250	6839	10
101	1358	16
14	6996	40
177	8637	2
1175	2745	21
20818	6191	25
2531	4248	26
101	4265	4
144	4588	25
104	8685	6
137	147	19
8270	444	4
14	1143	37
500	661	21
264	8226	12
9	7100	43
119	1139	6
118	9355	5
6025	6061	24
16860	6373	23
113	1590	4
27266	5521	29
128	5962	22
131	126	39
101	6926	23
5988	6716	12
156	6200	6
101	6891	11
2648	7532	23
101	3241	1
101	4554	14
103	3054	6
1390	7758	36
1306	5014	15
1971	342	5
223	2190	1
4166	509	11
5184	6433	4
1587	5529	1
101	8812	3
14	7489	15
106	4510	1
118	7982	17
12	5231	6
11118	3464	18
14	4526	8
1650	4608	0
18948	996	18
213	7911	22
104	590	5
25775	4654	16
140	750	4
2998	6293	24
150	8336	14
565	6679	7
115	8815	24
1696	7999	14
13298	6487	31
5320	9650	4
101	6657	7
101	4384	2
120	592	4
5240	6991	2
1017	1795	5
107	2648	26
3011	5739	18
639	2046	1
12	3468	13
12	1709	8
178	2843	0
114	1121	15
14	7695	9
683	6388	23
108	6683	18
3541	4319	19
131	1217	14
106	2746	10
108	6364	18
24249	2579	13
119	2451	17
12	3758	17
797	4486	4
153	5971	24
103	6419	37
101	7944	5
26700	8973	10
1045	8150	3
369	2009	3
122	2140	17
13531	266	13
119	7099	19
105	5387	3
8	2929	41
12	7302	19
14	527	12
118	96	18
102	8941	26
9840	2704	12
124	6360	6
6095	1624	6
105	3558	12
127	4355	21
141	3235	17
103	4746	15
5626	5739	16
177	3434	33
25943	428	20
27171	780	6
103	5281	17
12	9701	19
6067	418	12
105	3075	16
102	7589	4
9	4394	17
186	3222	7
1239	3041	7
125	5240	15
124	3290	14
202	6788	33
105	7478	35
11488	1358	11
15265	6477	29
110	101	37
2739	9452	15
