"news_words","hunspell_stem","hunspell_time","porter_stem","porter_time","rslp_stem","rslp_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"proteção","proteção",9.23799991607666,"proteçã",0.146928071975708,"protec",1.10850715637207,"pro","prot","prote","proteç","proteçã","proteção"
"prática","prático",9.29823279380798,"prátic",0.147937774658203,"prat",1.11622333526611,"prá","prát","práti","prátic","prática","prática"
"públicos","público",9.35898232460022,"públic",0.148946046829224,"public",1.12503170967102,"púb","públ","públi","públic","público","públicos"
"realizada","realizar",9.42622351646423,"realiz",0.149974822998047,"realiz",1.13328647613525,"rea","real","reali","realiz","realiza","realizad"
"rua","ruir",9.48832535743713,"rua",0.150992393493652,"rua",1.14193773269653,"rua","rua","rua","rua","rua","rua"
"ruas","ruir",9.5646550655365,"ruas",0.158141136169434,"rua",1.15089130401611,"rua","ruas","ruas","ruas","ruas","ruas"
"semanas","semana",9.62749052047729,"seman",0.159295558929443,"seman",1.16108322143555,"sem","sema","seman","semana","semanas","semanas"
"trabalhar","trabalhar",9.69300413131714,"trabalh",0.160265445709229,"trabalh",1.16895866394043,"tra","trab","traba","trabal","trabalh","trabalha"
"vagas","vagar",9.75938582420349,"vag",0.161197423934937,"vag",1.17805123329163,"vag","vaga","vagas","vagas","vagas","vagas"
"últimas","último",9.82012677192688,"últim",0.162165403366089,"ult",1.1877772808075,"últ","últi","últim","última","últimas","últimas"
"congresso","congresso",9.88129472732544,"congress",0.163105726242065,"congress",1.19623160362244,"con","cong","congr","congre","congres","congress"
"deus","deus",9.94695997238159,"deus",0.163995504379272,"deu",1.20484328269958,"deu","deus","deus","deus","deus","deus"
"todos","todo",10.0419611930847,"tod",0.16554594039917,"tod",1.21365761756897,"tod","todo","todos","todos","todos","todos"
"acabou","acabar",10.1082901954651,"acab",0.166385650634766,"acab",1.22203302383423,"aca","acab","acabo","acabou","acabou","acabou"
"auxílio","auxílio",10.1700739860535,"auxíli",0.167226314544678,"auxili",1.23044109344482,"aux","auxí","auxíl","auxíli","auxílio","auxílio"
"comércio","comércio",10.2312321662903,"comérci",0.168076276779175,"comerci",1.23875093460083,"com","comé","comér","comérc","comérci","comércio"
"grupos","grupos",10.2973661422729,"grup",0.168907403945923,"grup",1.24773001670837,"gru","grup","grupo","grupos","grupos","grupos"
"informação","formação",10.3578252792358,"inform",0.169744253158569,"inform",1.25535225868225,"inf","info","infor","inform","informa","informaç"
"irá","irar",10.4215517044067,"irá",0.170571327209473,"ira",1.26346397399902,"irá","irá","irá","irá","irá","irá"
"jovem","jovem",10.4883677959442,"jov",0.171396732330322,"jov",1.27126026153564,"jov","jove","jovem","jovem","jovem","jovem"
"leitos","leitos",10.549134016037,"leit",0.172233104705811,"leit",1.28011608123779,"lei","leit","leito","leitos","leitos","leitos"
"máscara","máscara",10.611070394516,"másc",0.173070907592773,"masc",1.28887462615967,"más","másc","másca","máscar","máscara","máscara"
"média","médio",10.6789841651917,"méd",0.173901319503784,"med",1.29853677749634,"méd","médi","média","média","média","média"
"oportunidade","oportuno",10.7409789562225,"oportun",0.174738168716431,"oportun",1.30581045150757,"opo","opor","oport","oportu","oportun","oportuni"
"pediu","pedir",10.8086137771606,"ped",0.175566434860229,"ped",1.3135712146759,"ped","pedi","pediu","pediu","pediu","pediu"
"sete","setar",10.8688108921051,"set",0.176422357559204,"set",1.32230997085571,"set","sete","sete","sete","sete","sete"
"superior","superior",10.9318039417267,"superior",0.177262306213379,"superi",1.32957029342651,"sup","supe","super","superi","superio","superior"
"suspeitos","suspeitos",10.999082326889,"suspeit",0.178104400634766,"suspeit",1.33868551254272,"sus","susp","suspe","suspei","suspeit","suspeito"
"trabalhadores","trabalhar",11.0594148635864,"trabalh",0.178968667984009,"trabalh",1.34627628326416,"tra","trab","traba","trabal","trabalh","trabalha"
"tratamento","tratar",11.1207640171051,"tratament",0.179849863052368,"trat",1.35369801521301,"tra","trat","trata","tratam","tratame","tratamen"
"china","chinar",11.1886112689972,"chin",0.18070387840271,"chin",1.36294484138489,"chi","chin","china","china","china","china"
"norte","norte",11.2489964962006,"nort",0.181552410125732,"nort",1.37138175964355,"nor","nort","norte","norte","norte","norte"
"pedro","pedrar",11.3201587200165,"pedr",0.182403802871704,"pedr",1.39739060401917,"ped","pedr","pedro","pedro","pedro","pedro"
"santo","santo",11.3872656822205,"sant",0.183558464050293,"sant",1.40603470802307,"san","sant","santo","santo","santo","santo"
"união","união",11.481260061264,"uniã",0.185422658920288,"uni",1.41434454917908,"uni","uniã","união","união","união","união"
"avaliação","avaliação",11.5487468242645,"avali",0.186371803283691,"avali",1.42184853553772,"ava","aval","avali","avalia","avaliaç","avaliaçã"
"desses","dar",11.6109340190887,"dess",0.187235832214355,"dess",1.43090033531189,"des","dess","desse","desses","desses","desses"
"eventos","evento",11.6732687950134,"event",0.188090085983276,"event",1.43969893455505,"eve","even","event","evento","eventos","eventos"
"idade","idade",11.7415447235107,"idad",0.189229965209961,"idad",1.44804263114929,"ida","idad","idade","idade","idade","idade"
"interior","interior",11.8023829460144,"interior",0.190300941467285,"interi",1.45534992218018,"int","inte","inter","interi","interio","interior"
"jogador","jogar",11.8700125217438,"jogador",0.19127368927002,"jog",1.46230101585388,"jog","joga","jogad","jogado","jogador","jogador"
"medo","medo",11.9297394752502,"med",0.192246675491333,"med",1.47056698799133,"med","medo","medo","medo","medo","medo"
"oficial","oficial",11.9914200305939,"oficial",0.193145513534546,"ofic",1.47738695144653,"ofi","ofic","ofici","oficia","oficial","oficial"
"operação","operação",12.066987991333,"oper",0.193993091583252,"oper",1.48489785194397,"ope","oper","opera","operaç","operaçã","operação"
"pai","pai",12.1311700344086,"pai",0.194820880889893,"pai",1.49319267272949,"pai","pai","pai","pai","pai","pai"
"projetos","projetos",12.1974232196808,"projet",0.195667266845703,"projet",1.50211119651794,"pro","proj","proje","projet","projeto","projetos"
"segue","segar",12.2658445835114,"seg",0.196522951126099,"seg",1.51021766662598,"seg","segu","segue","segue","segue","segue"
"seguida","seguir",12.3280725479126,"segu",0.197357177734375,"segu",1.51823377609253,"seg","segu","segui","seguid","seguida","seguida"
