"wiki_words","hunspell_stem","hunspell_time","rslp_stem","rslp_time","porter_stem","porter_time","truncation_3","truncation_4","truncation_5","truncation_6","truncation_7","truncation_8"
"têm","ter",4.81746315956116,"tem",0.632868766784668,"têm",0.0921881198883057,"têm","têm","têm","têm","têm","têm"
"corpo","corpo",4.89394044876099,"corp",0.641395568847656,"corp",0.0931088924407959,"cor","corp","corpo","corpo","corpo","corpo"
"nível","nível",4.95549702644348,"nivel",0.649569988250732,"nível",0.0942144393920898,"nív","níve","nível","nível","nível","nível"
"incluindo","incluir",5.01674795150757,"inclu",0.657536029815674,"inclu",0.0952813625335693,"inc","incl","inclu","inclui","incluin","incluind"
"meses","mês",5.07808613777161,"mes",0.666680574417114,"mes",0.108654022216797,"mes","mese","meses","meses","meses","meses"
"obras","obrar",5.15433192253113,"obr",0.676177501678467,"obras",0.10980486869812,"obr","obra","obras","obras","obras","obras"
"seis","seis",5.2166690826416,"sel",0.685384035110474,"seis",0.110853910446167,"sei","seis","seis","seis","seis","seis"
"tornou","tornar",5.27844190597534,"torn",0.693345546722412,"torn",0.111848115921021,"tor","torn","torno","tornou","tornou","tornou"
"último","último",5.35432553291321,"ult",0.701177358627319,"últim",0.112739324569702,"últ","últi","últim","último","último","último"
"desenvolvimento","envolver",5.41603350639343,"desenvolv",0.708184480667114,"desenvolv",0.113641500473022,"des","dese","desen","desenv","desenvo","desenvol"
"feito","fazer",5.47804284095764,"feit",0.716878652572632,"feit",0.114548921585083,"fei","feit","feito","feito","feito","feito"
"fevereiro","fevereiro",5.55346989631653,"fever",0.723759174346924,"fevereir",0.115444898605347,"fev","feve","fever","fevere","feverei","fevereir"
"julho","julho",5.61450481414795,"julh",0.732502937316895,"julh",0.116349935531616,"jul","julh","julho","julho","julho","julho"
"junho","junho",5.67622637748718,"junh",0.740957736968994,"junh",0.117232799530029,"jun","junh","junho","junho","junho","junho"
"próprio","próprio",5.75682902336121,"propri",0.749205112457275,"própri",0.118144750595093,"pró","próp","própr","própri","próprio","próprio"
"quanto","quanto",5.82045674324036,"quant",0.757958173751831,"quant",0.119041442871094,"qua","quan","quant","quanto","quanto","quanto"
"quase","quase",5.88351702690125,"quas",0.766190767288208,"quas",0.120000600814819,"qua","quas","quase","quase","quase","quase"
"relação","lação",5.94696140289307,"relac",0.774998664855957,"relaçã",0.120954513549805,"rel","rela","relaç","relaçã","relação","relação"
"clube","clube",6.02347087860107,"club",0.783494710922241,"club",0.121920108795166,"clu","club","clube","clube","clube","clube"
"fato","fato",6.08527302742004,"fat",0.793272256851196,"fat",0.12283730506897,"fat","fato","fato","fato","fato","fato"
"junto","juntar",6.14713978767395,"junt",0.803422212600708,"junt",0.12371826171875,"jun","junt","junto","junto","junto","junto"
"momento","momento",6.22274518013,"moment",0.812822341918945,"moment",0.124598503112793,"mom","mome","momen","moment","momento","momento"
"ponto","pontar",6.2844398021698,"pont",0.826275825500488,"pont",0.125482320785522,"pon","pont","ponto","ponto","ponto","ponto"
"joão","joão",6.34537053108215,"joa",0.840261459350586,"joã",0.126371622085571,"joã","joão","joão","joão","joão","joão"
"escola","escol",6.42028999328613,"escol",0.852685213088989,"escol",0.127269744873047,"esc","esco","escol","escola","escola","escola"
"filmes","filmar",6.48250365257263,"film",0.86823296546936,"film",0.128147840499878,"fil","film","filme","filmes","filmes","filmes"
"geralmente","geral",6.54422426223755,"geral",0.879745960235596,"geral",0.129034042358398,"ger","gera","geral","geralm","geralme","geralmen"
"idade","idade",6.60587477684021,"idad",0.888284683227539,"idad",0.1299147605896,"ida","idad","idade","idade","idade","idade"
"original","original",6.68229699134827,"orig",0.895053148269653,"original",0.130805730819702,"ori","orig","origi","origin","origina","original"
"política","político",6.74383091926575,"polit",0.903262615203857,"polít",0.131681203842163,"pol","polí","polít","políti","polític","política"
