427	9	10	49.46
4973	139	3	33.66
208	115	14	50.53
126	687	4	19.6
731	105	4	7.42
6314	12	3	16.35
107	1076	22	178.58
371	1573	3	32.83
114	1119	3	12.6
533	124	3	11.24
1831	12	4	6.97
697	148	8	67.45
106	245	9	13.45
101	583	23	85.37
914	106	8	32.76
1031	107	5	17.98
117	126	32	68.25
107	2189	3	12.79
2	347	13	69.18
104	132	30	25.78
101	4811	3	12.09
104	196	23	51.58
116	1047	3	12.81
16	57	44	205.37
4204	8	4	36.27
101	537	10	17.26
1367	128	5	37.89
106	210	10	13.4
122	1005	5	29.52
4152	101	3	12.09
102	1882	3	8.53
1903	101	4	9.63
921	101	9	22.5
641	8	5	22.1
121	1563	5	33.86
176	126	4	6.86
164	3495	3	31.52
101	4898	3	12.09
760	9	8	46.36
104	119	81	80.28
103	4147	4	23.05
2545	12	3	5.71
106	3130	5	30.51
1056	14	6	12.12
117	226	8	22.62
123	3132	3	22.29
325	106	6	8.68
2278	14	4	11.21
105	890	3	4.9
102	3363	3	12.71
182	14	35	49.95
717	110	3	8.1
941	106	3	6.56
347	117	10	44.19
106	3721	6	49.19
1089	14	4	5.45
1137	14	5	9.19
163	107	13	16.38
122	7890	3	32.61
101	7255	3	18.64
329	101	22	47.38
103	574	14	53.42
262	281	3	18.85
124	2775	3	21.66
952	101	5	7.53
455	109	3	4.62
107	1828	5	25.33
127	114	11	6.53
721	109	5	16.8
521	125	17	127.17
194	1021	7	71.54
102	1002	3	4.84
114	207	13	43.94
2946	101	7	37.56
623	9	4	15.71
140	144	4	9.15
1536	12	5	8.87
103	3119	4	19.69
478	9	10	52.87
8	83	4	14.91
177	106	24	55.96
8	507	7	32.81
313	14	16	22.72
258	115	4	7.48
469	389	3	25.39
107	3162	4	24.46
147	746	3	19.31
17	2299	3	35.02
583	12	10	12.34
1078	106	4	12.17
299	165	32	324.4
105	633	4	6.3
693	12	11	19.03
340	107	21	89.05
106	565	8	25.07
118	1041	3	13.3
103	1419	4	12.63
101	283	11	7.48
1532	109	4	18.14
107	668	7	23.98
121	1310	5	31.86
723	107	4	9.96
2366	109	4	22.54
121	3499	3	22.65
2	770	3	12.04
111	493	7	26.66
2715	107	3	14.17
5112	101	3	14.23
121	5520	3	27.68
129	163	31	189.11
129	310	12	73.14
363	107	4	4.92
502	101	9	12.54
1333	104	8	36
181	141	4	13.17
106	2291	3	12.61
116	332	7	24.76
107	247	13	31.5
699	2224	3	39.58
108	4160	3	19.84
102	1175	4	9.84
102	1115	4	9.14
112	1540	3	14.18
101	613	6	6.35
786	171	6	51.73
103	1927	9	53
1724	106	3	10.41
1227	12	4	3.95
101	733	5	5.33
2335	12	3	5.08
102	406	19	64.24
114	714	7	35.71
115	563	4	14.2
372	103	12	29.91
113	875	5	22.63
1196	12	9	22
101	1962	4	10.31
118	1216	5	29.05
209	286	14	125.26
12	2251	5	12.91
12	4272	3	9.89
108	439	3	4.16
534	804	5	57.4
1728	101	4	9.02
123	3522	3	23.31
108	589	4	9.87
141	945	5	38.62
101	3179	4	15.57
101	3231	3	9.44
9	13	5	11.02
103	2437	5	24.61
1850	101	5	14.48
359	3875	3	39.78
368	101	16	28.27
5425	101	3	14.23
115	3048	3	19.86
334	9	6	20.34
114	909	5	24.28
686	119	3	10.85
1956	12	5	11.9
902	12	6	6.59
102	303	6	4.26
113	800	5	21.96
101	1809	8	32.84
3166	12	3	7.33
121	2077	4	27.7
102	1430	6	22.62
150	626	3	18.51
236	298	3	18.43
150	678	10	89.54
8	3201	3	21.43
101	990	12	41.14
103	1852	3	9.35
143	108	11	8.61
4	876	6	51.27
3667	101	6	37.28
111	168	17	45.41
386	102	9	15.83
1455	101	3	4.08
101	2211	3	6.48
112	314	38	253.99
443	273	6	53.63
114	783	6	29.37
103	629	8	22.59
101	2091	3	6.48
5774	120	3	26.86
101	1939	3	5.51
4900	12	3	9.89
428	106	5	8.27
372	121	3	7.95
4667	110	5	46.62
1492	14	5	12.36
3035	12	3	6.44
1375	101	4	7.07
108	569	11	48.59
417	269	12	123.27
111	1312	3	12.28
12	7099	3	16.35
3712	3724	3	56.48
125	567	4	17.79
115	2774	3	19
111	423	4	9.44
